Name,Year,Runtime,Rating
1. The Shawshank Redemption,1994,2h 22m,R
2. The Godfather,1972,2h 55m,R
3. The Dark Knight,2008,2h 32m,PG-13
4. Schindler's List,1993,3h 15m,R
5. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13
6. 12 Angry Men,1957,1h 36m,Approved
7. The Godfather Part II,1974,3h 22m,R
8. Pulp Fiction,1994,2h 34m,R
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13
11. Inception,2010,2h 28m,PG-13
12. Fight Club,1999,2h 19m,R
13. Forrest Gump,1994,2h 22m,PG-13
14. The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13
"15. The Good, the Bad and the Ugly",1966,2h 58m,R
16. Interstellar,2014,2h 49m,PG-13
17. The Matrix,1999,2h 16m,R
18. Goodfellas,1990,2h 25m,R
19. One Flew Over the Cuckoo's Nest,1975,2h 13m,R
20. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG
21. Dune: Part Two,2024,2h 46m,PG-13
22. Saving Private Ryan,1998,2h 49m,R
23. Se7en,1995,2h 7m,R
24. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG
25. The Green Mile,1999,3h 9m,R
